num_md_sims,abs_vel_error
1,0.10527764209079842
2,0.07444253462973385
4,0.05263882104539921
8,0.037221267314866927
16,0.026319410522699604
32,0.018610633657433463
64,0.013159705261349802
128,0.009305316828716732
