runtype,num_md_sims,avg_energy,min_energy,max_energy,avg_snr_gain,min_snr_gain,max_snr_gain
multimd,1,0.13,0.13,0.13,0.0,-0.5537666425306895,0.6534972847352485
multimd,2,0.25,0.25,0.25,2.9567897669483507,2.4365165548340535,3.670086696503521
multimd,4,0.5066666666666667,0.5,0.51,5.846417381295559,5.433309008975272,6.2285334133693695
multimd,8,1.0266666666666666,1.02,1.04,8.72611705141884,8.237741104088869,9.45750979627541
multimd,16,2.08,2.08,2.08,11.97630116561102,11.425190363674133,12.343408178784976
multimd,32,4.266666666666667,4.26,4.28,14.79530317902919,14.249640727509345,15.339108514657767
multimd,64,8.873333333333335,8.86,8.88,17.636789276808997,16.620167220760464,18.707577838566145
multimd,128,19.376666666666665,19.11,19.71,20.32673404527049,19.82292406879543,20.680512092947723
filter,1,0.12666666666666668,0.12,0.13,0.4696523556105383,0.23948375480816253,0.962264134995678
filter,2,0.25333333333333335,0.25,0.26,3.6594308574780072,3.023687689235256,4.263255515940358
filter,4,0.51,0.51,0.51,6.475631687272813,5.708265783269624,6.930309638459434
filter,8,1.0233333333333334,1.01,1.03,9.49149406255069,8.932153131321577,10.116360443918687
filter,16,2.066666666666667,2.06,2.08,12.521742471233441,12.02832120240253,13.301042669290101
filter,32,4.286666666666666,4.25,4.34,15.61583401020198,14.912694184131375,15.964936039047402
filter,64,8.986666666666666,8.88,9.16,18.359943687917074,17.967560311659305,18.688077389531728
filter,128,19.290000000000003,19.26,19.31,20.893919991334784,20.162345418583755,21.936768919706324
