path,runtype,num_md_sims,time_percent_micro,time_percent_macro,time_percent_filter,time_percent_other,walltime_total,walltime_total_sec,md_size
part2_180/filter2_2,filter,2,97.3475,0.12704,0.000153896,2.52533,00:55:05,3305,180
part2_180/filter2_3,filter,2,97.5769,0.125963,0.000170965,2.29699,00:54:34,3274,180
part2_180/filter32_1,filter,32,69.1332,0.0876295,0.000123261,30.7791,01:11:20,4280,180
part2_180/filter32_2,filter,32,72.652,0.0952006,0.000129777,27.2527,01:08:20,4100,180
part2_180/filter32_3,filter,32,71.9731,0.0937287,0.000129352,27.9331,01:08:49,4129,180
part2_180/filter4_1,filter,4,95.1766,0.119157,0.000161849,4.70404,00:56:15,3375,180
part2_180/filter4_2,filter,4,92.2034,0.115727,0.000144472,7.68072,00:56:10,3370,180
part2_180/filter4_3,filter,4,93.2434,0.117271,0.000165522,6.63921,00:55:44,3344,180
part2_180/filter64_1,filter,64,56.4601,0.0698237,0.000100542,43.4699,01:24:00,5040,180
part2_180/filter64_2,filter,64,56.9759,0.0718272,9.29521e-05,42.9521,01:23:14,4994,180
part2_180/filter64_3,filter,64,56.2317,0.0728856,0.000102725,43.6953,01:23:36,5016,180
part2_180/filter8_1,filter,8,90.6255,0.114377,0.000157389,9.25994,00:58:30,3510,180
part2_180/filter8_2,filter,8,90.4872,0.114305,0.000145083,9.39834,00:57:28,3448,180
part2_180/filter8_3,filter,8,91.0488,0.114302,0.00014738,8.83679,00:57:54,3474,180
part2_180/multimd128_1,multimd,128,37.3757,0.0468326,4.39322e-07,62.5775,02:00:07,7207,180
part2_180/multimd128_2,multimd,128,37.4667,0.0491938,4.92599e-07,62.4841,01:58:39,7119,180
part2_180/multimd128_3,multimd,128,37.4012,0.0469329,3.30307e-07,62.5519,01:59:44,7184,180
part2_180/multimd16_1,multimd,16,83.5705,0.105992,8.79615e-07,16.3235,01:01:08,3668,180
part2_180/multimd16_2,multimd,16,84.0452,0.102856,3.51325e-07,15.8519,01:01:18,3678,180
part2_180/multimd16_3,multimd,16,81.1766,0.103016,5.09061e-07,18.7204,01:02:53,3773,180
part2_180/multimd1_1,multimd,1,98.6666,0.127821,6.61247e-07,1.20557,00:54:01,3241,180
part2_180/multimd1_2,multimd,1,98.7184,0.127343,9.06371e-07,1.15422,00:54:15,3255,180
part2_180/multimd1_3,multimd,1,98.7411,0.127372,7.79636e-07,1.13149,00:54:25,3265,180
part2_180/multimd2_1,multimd,2,96.8465,0.127684,1.63674e-07,3.02585,00:54:21,3261,180
part2_180/multimd2_2,multimd,2,97.2816,0.12312,2.44928e-07,2.59528,00:54:39,3279,180
part2_180/multimd2_3,multimd,2,97.1347,0.144508,6.15576e-07,2.72075,00:54:16,3256,180
part2_180/multimd32_1,multimd,32,72.2547,0.0946442,7.26067e-07,27.6506,01:08:56,4136,180
part2_180/multimd32_2,multimd,32,67.9403,0.0849562,5.7229e-07,31.9747,01:12:02,4322,180
part2_180/multimd32_3,multimd,32,72.5875,0.0916347,6.59276e-07,27.3209,01:09:30,4170,180
part2_180/multimd4_1,multimd,4,94.2075,0.118024,5.53834e-07,5.67451,00:55:49,3349,180
part2_180/multimd4_2,multimd,4,95.014,0.120665,3.92951e-07,4.86531,00:56:26,3386,180
part2_180/multimd4_3,multimd,4,94.4385,0.119685,7.42594e-07,5.4418,00:56:37,3397,180
part2_180/multimd64_1,multimd,64,57.1988,0.0744272,3.63702e-07,42.7268,01:22:31,4951,180
part2_180/multimd64_2,multimd,64,56.8606,0.0718402,7.68165e-07,43.0676,01:25:45,5145,180
part2_180/multimd64_3,multimd,64,56.8936,0.07059,4.06839e-07,43.0358,01:23:27,5007,180
part2_180/multimd8_1,multimd,8,90.2082,0.113181,5.98337e-07,9.67857,00:58:29,3509,180
part2_180/multimd8_2,multimd,8,88.5083,0.110487,4.75128e-07,11.3812,00:59:33,3573,180
part2_180/multimd8_3,multimd,8,89.7937,0.113401,4.85024e-07,10.0929,00:58:33,3513,180
