,runtype,num_md_sims,avg_energy,min_energy,max_energy,avg_snr_gain,min_snr_gain,max_snr_gain,md_size,num_eq_timesteps,md_time_steps,abs_vel_error
0,filter,1,1.3833333333333335,1.37,1.4,2.945899530385505,2.643273534205393,3.17487186720564,120,5000,100000,0.1041596367210168
1,filter,2,2.78,2.75,2.8,5.951187940555885,5.787689008711228,6.180323250470631,120,5000,100000,0.0736519854513583
2,filter,4,5.613333333333332,5.6,5.64,8.90794314868302,8.734134631505059,9.143556525579138,120,5000,100000,0.0520798183605084
3,filter,8,11.24,11.23,11.25,11.919463892205783,11.813339078086123,12.083899029738228,120,5000,100000,0.0368259927256791
4,filter,16,22.83333333333333,22.7,23.01,14.748527402224378,14.473153660296289,14.972847173313676,120,5000,100000,0.0260399091802542
5,filter,32,46.81666666666666,46.28,47.17,17.352026293854045,17.238717993037284,17.55978401223991,120,5000,100000,0.0184129963628395
6,filter,64,98.98333333333336,97.51,101.51,19.918732297264636,19.734511910305685,20.089125017001187,120,5000,100000,0.0130199545901271
7,filter,128,233.95666666666668,232.56,236.46,21.914899617656275,21.690947396074343,22.122887938869678,120,5000,100000,0.0092064981814197
8,filter,1,0.5933333333333333,0.59,0.6,4.784243489180355,3.1901222475247257,6.318777253883165,180,5000,10000,0.1037913833081419
9,filter,2,1.1833333333333331,1.17,1.19,7.758677788018315,6.089316632672818,9.318972729073971,180,5000,10000,0.0733915909659194
10,filter,4,2.4333333333333336,2.41,2.47,10.56395337499378,8.751381730755098,12.057016120068674,180,5000,10000,0.0518956916540709
11,filter,8,4.993333333333333,4.93,5.06,13.285928982675696,11.53595288600708,14.635815521458856,180,5000,10000,0.0366957954829597
12,filter,16,10.51,10.35,10.73,15.772225092739586,13.877125424956452,17.00361233842338,180,5000,10000,0.0259478458270354
13,filter,32,23.28,22.93,23.8,17.920471583217815,15.774211710622408,19.057267572746795,180,5000,10000,0.0183478977414798
14,filter,64,54.93666666666667,54.72,55.13,19.57889074360056,17.299562760937658,21.0902159721481,180,5000,10000,0.0129739229135177
15,filter,128,151.04333333333332,149.6,152.83,20.75043060431895,18.217726460557124,22.813306698474484,180,5000,10000,0.0091739488707399
