runtype,num_md_sims,avg_energy,min_energy,max_energy,avg_snr_gain,min_snr_gain,max_snr_gain
multimd,1,0.5866666666666666,0.58,0.59,0.0,-1.5829107425528885,1.5133052088824828
multimd,2,1.1833333333333333,1.18,1.19,2.9922934552453357,1.3238499938580839,4.502985235733027
multimd,4,2.4266666666666667,2.4,2.45,5.9472482381593785,4.312095791023317,7.4649991291057916
multimd,8,5.06,5.02,5.14,8.850702096393144,7.158974853351437,10.351025269169883
multimd,16,10.513333333333334,10.42,10.68,11.66092723357708,9.90270080745524,13.106791364357239
multimd,32,23.476666666666663,23.09,24.04,14.310242741016468,12.519008697070738,15.61295888554159
multimd,64,55.10999999999999,54.3,56.23,16.651471388949417,14.65767799033837,17.776794013937675
multimd,128,152.42,151.52,153.07,18.584968792508377,16.414652785474296,19.846880222934125
filter,1,0.5933333333333333,0.59,0.6,4.784243489180355,3.1901222475247257,6.318777253883165
filter,2,1.1833333333333333,1.17,1.19,7.758677788018315,6.089316632672818,9.318972729073973
filter,4,2.4333333333333336,2.41,2.47,10.56395337499378,8.751381730755098,12.057016120068674
filter,8,4.993333333333333,4.93,5.06,13.285928982675696,11.535952886007081,14.635815521458857
filter,16,10.51,10.35,10.73,15.772225092739586,13.877125424956452,17.00361233842338
filter,32,23.28,22.93,23.8,17.920471583217815,15.774211710622408,19.057267572746795
filter,64,54.93666666666667,54.72,55.13,19.578890743600557,17.299562760937658,21.0902159721481
filter,128,151.04333333333332,149.6,152.83,20.75043060431895,18.217726460557124,22.813306698474484
