runtype,num_md_sims,avg_energy,min_energy,max_energy,avg_snr_gain,min_snr_gain,max_snr_gain
multimd,1,1.3833333333333335,1.37,1.4,0.0,-0.10324652460591999,0.13229638975386493
multimd,2,2.7733333333333334,2.74,2.79,2.9707471921261845,2.787926788507198,3.1016923913129784
multimd,4,5.616666666666667,5.57,5.66,5.902950227533969,5.817428819174994,5.992345173573179
multimd,8,11.306666666666667,11.24,11.41,8.917216826407055,8.73205185354549,9.08323319125944
multimd,16,22.849999999999998,22.7,23.05,11.835386722989602,11.659160299305425,12.045408701989968
multimd,32,46.72,46.61,46.89,14.664663375915362,14.400269471801801,14.794289973958959
multimd,64,99.32333333333334,98.01,100.27,17.360202514697477,17.247249637455717,17.469764535840767
multimd,128,238.96666666666667,233.51,243.6,19.880953837344094,19.74841226945376,20.060699108581694
filter,1,1.3833333333333335,1.37,1.4,2.945899530385505,2.6432735342053935,3.17487186720564
filter,2,2.78,2.75,2.8,5.951187940555885,5.787689008711228,6.1803232504706305
filter,4,5.613333333333332,5.6,5.64,8.90794314868302,8.734134631505059,9.143556525579138
filter,8,11.24,11.23,11.25,11.919463892205785,11.813339078086125,12.083899029738228
filter,16,22.833333333333332,22.7,23.01,14.748527402224378,14.473153660296289,14.972847173313676
filter,32,46.81666666666666,46.28,47.17,17.352026293854045,17.238717993037284,17.55978401223991
filter,64,98.98333333333335,97.51,101.51,19.918732297264633,19.734511910305685,20.089125017001187
filter,128,233.95666666666668,232.56,236.46,21.914899617656275,21.690947396074343,22.122887938869674
