,runtype,num_md_sims,avg_energy,min_energy,max_energy,avg_snr_gain,min_snr_gain,max_snr_gain,abs_vel_error,md_size,num_eq_timesteps,md_time_steps
0,multimd,1,0.13,0.13,0.13,0.0,-0.5537666425306895,0.6534972847352485,0.1052776420907984,60,10000,75000
1,multimd,2,0.25,0.25,0.25,2.9567897669483507,2.436516554834053,3.670086696503521,0.0744425346297338,60,10000,75000
2,multimd,4,0.5066666666666667,0.5,0.51,5.846417381295559,5.433309008975272,6.2285334133693695,0.0526388210453992,60,10000,75000
3,multimd,8,1.0266666666666666,1.02,1.04,8.72611705141884,8.237741104088869,9.45750979627541,0.0372212673148669,60,10000,75000
4,multimd,16,2.0833333333333335,2.08,2.09,11.755522644692107,11.067817794757218,12.195630352390467, 0.026319410522699604, 60,10000,75000
5,multimd,32,4.266666666666667,4.26,4.28,14.79530317902919,14.249640727509345,15.339108514657768,0.0186106336574334,60,10000,75000
6,multimd,64,8.873333333333335,8.86,8.88,17.636789276808997,16.620167220760464,18.707577838566145,0.0131597052613498,60,10000,75000
7,multimd,128,19.376666666666665,19.11,19.71,20.32673404527049,19.82292406879543,20.680512092947723,0.0093053168287167,60,10000,75000
8,multimd,1,1.3833333333333335,1.37,1.4,0.0,-0.1032465246059199,0.1322963897538649,0.1041596367210168,120,5000,100000
9,multimd,2,2.773333333333333,2.74,2.79,2.9707471921261845,2.787926788507198,3.1016923913129784,0.0736519854513583,120,5000,100000
10,multimd,4,5.616666666666667,5.57,5.66,5.902950227533969,5.817428819174994,5.992345173573179,0.0520798183605084,120,5000,100000
11,multimd,8,11.306666666666668,11.24,11.41,8.917216826407055,8.73205185354549,9.08323319125944,0.0368259927256791,120,5000,100000
12,multimd,16,22.85,22.7,23.05,11.835386722989602,11.659160299305425,12.045408701989968,0.0260399091802542,120,5000,100000
13,multimd,32,46.72,46.61,46.89,14.664663375915362,14.4002694718018,14.79428997395896,0.0184129963628395,120,5000,100000
14,multimd,64,99.32333333333334,98.01,100.27,17.360202514697477,17.247249637455717,17.469764535840767,0.0130199545901271,120,5000,100000
15,multimd,128,238.96666666666667,233.51,243.6,19.88095383734409,19.74841226945376,20.06069910858169,0.0092064981814197,120,5000,100000
16,multimd,1,0.5866666666666666,0.58,0.59,0.0,-1.5829107425528883,1.5133052088824828,0.1037913833081419,180,5000,10000
17,multimd,2,1.1833333333333331,1.18,1.19,2.992293455245336,1.323849993858084,4.502985235733027,0.0733915909659194,180,5000,10000
18,multimd,4,2.4266666666666667,2.4,2.45,5.9472482381593785,4.312095791023317,7.464999129105791,0.0518956916540709,180,5000,10000
19,multimd,8,5.06,5.02,5.14,8.850702096393144,7.158974853351437,10.351025269169885,0.0366957954829597,180,5000,10000
20,multimd,16,10.513333333333334,10.42,10.68,11.66092723357708,9.90270080745524,13.10679136435724,0.0259478458270354,180,5000,10000
21,multimd,32,23.476666666666663,23.09,24.04,14.310242741016468,12.519008697070738,15.61295888554159,0.0183478977414798,180,5000,10000
22,multimd,64,55.10999999999999,54.3,56.23,16.651471388949417,14.65767799033837,17.776794013937675,0.0129739229135177,180,5000,10000
23,multimd,128,152.42,151.52,153.07,18.584968792508377,16.414652785474296,19.846880222934125,0.0091739488707399,180,5000,10000
